Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2017-06-23,Pushups,Chest,0.0,22,,,
2017-06-23,Pushups,Chest,0.0,15,,,
2017-06-23,Pushups,Chest,0.0,12,,,
2017-06-23,Crunches,Abs,0.0,25,,,
2017-06-23,Crunches,Abs,0.0,25,,,
2017-06-23,Standing Dumbbell Curl,Biceps,25.0,12,,,
2017-06-23,Standing Dumbbell Curl,Biceps,30.0,9,,,
2017-06-23,Standing Dumbbell Curl,Biceps,30.0,8,,,
2017-06-23,Archer Pushups,Chest,0.0,18,,,
2017-06-23,Archer Pushups,Chest,0.0,12,,,
2017-06-23,Archer Pushups,Chest,0.0,10,,,
2017-06-23,Bicycle Crunches,Abs,0.0,21,,,
2017-06-23,Bicycle Crunches,Abs,0.0,22,,,
2017-06-23,Bicycle Crunches,Abs,0.0,20,,,
2017-06-23,Sitting Military Press,Shoulders,25.0,14,,,
2017-06-23,Sitting Military Press,Shoulders,30.0,8,,,
2017-06-23,Sitting Military Press,Shoulders,25.0,9,,,
2017-06-23,Horizontal Incline Chest Press Machine,Chest,120.0,7,,,
2017-06-23,Horizontal Incline Chest Press Machine,Chest,100.0,8,,,
2017-06-23,Horizontal Incline Chest Press Machine,Chest,80.0,7,,,
2017-06-23,Dumbbell Hammer Curl,Biceps,25.0,12,,,
2017-06-23,Dumbbell Hammer Curl,Biceps,25.0,10,,,
2017-06-23,Dumbbell Hammer Curl,Biceps,25.0,9,,,
2017-06-23,Running (Treadmill),Cardio,,,1.23,mi,0:09:21
2017-06-23,Horizontal Chest Press Machine,Chest,100.0,12,,,
2017-06-23,Horizontal Chest Press Machine,Chest,80.0,10,,,
2017-06-23,Crunches,Abs,0.0,25,,,
2017-06-23,Horizontal Chest Press Machine,Chest,80.0,10,,,
2017-06-24,Running (Treadmill),Cardio,,,3.2,mi,0:25:40
2017-06-25,Seated Vertical Mid Row,Back,100.0,15,,,
2017-06-25,X Crunches,Abs,0.0,20,,,
2017-06-25,Skull Crushers,Triceps,35.0,20,,,
2017-06-25,Wide Lat Pulldown,Back,100.0,15,,,
2017-06-25,Penguin Toe Taps,Abs,0.0,20,,,
2017-06-25,Lateral Dumbbell Raise,Shoulders,10.0,15,,,
2017-06-25,Up Downs,Abs,0.0,16,,,
2017-06-25,Double Tricep Press,Triceps,40.0,15,,,
2017-06-25,Seated Vertical Mid Row,Back,120.0,15,,,
2017-06-25,X Crunches,Abs,0.0,20,,,
2017-06-25,Skull Crushers,Triceps,40.0,13,,,
2017-06-25,Wide Lat Pulldown,Back,120.0,12,,,
2017-06-25,Penguin Toe Taps,Abs,0.0,20,,,
2017-06-25,Lateral Dumbbell Raise,Shoulders,15.0,12,,,
2017-06-25,Double Tricep Press,Triceps,45.0,12,,,
2017-06-25,Up Downs,Abs,0.0,16,,,
2017-06-25,Seated Vertical Mid Row,Back,120.0,15,,,
2017-06-25,X Crunches,Abs,0.0,20,,,
2017-06-25,Skull Crushers,Triceps,40.0,12,,,
2017-06-25,Wide Lat Pulldown,Back,120.0,9,,,
2017-06-25,Penguin Toe Taps,Abs,0.0,20,,,
2017-06-25,Lateral Dumbbell Raise,Shoulders,15.0,12,,,
2017-06-25,Up Downs,Abs,0.0,16,,,
2017-06-25,Double Tricep Press,Triceps,45.0,13,,,
