Exercise,Gender,Max Type,Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite
Standing Calf Raise,Male,Weight,160,66,149,271,428,612
Standing Calf Raise,Male,Weight,170,75,162,288,450,639
Standing Calf Raise,Male,Weight,180,84,175,305,472,664
Standing Calf Raise,Male,Weight,190,93,188,322,493,689
Standing Calf Raise,Male,Weight,200,102,200,338,513,713
Standing Calf Raise,Male,Weight,210,111,213,354,532,735
Standing Calf Raise,Male,Weight,220,120,225,370,551,758
Standing Calf Raise,Male,Weight,230,128,236,385,570,779
Standing Calf Raise,Female,Weight,110,19,66,144,253,386
Standing Calf Raise,Female,Weight,120,23,73,155,267,403
Standing Calf Raise,Female,Weight,130,27,80,165,281,420
Standing Calf Raise,Female,Weight,140,31,87,175,294,435
Standing Calf Raise,Female,Weight,150,35,93,184,306,450
Standing Calf Raise,Female,Weight,160,39,100,193,317,464
Standing Calf Raise,Female,Weight,170,43,106,202,328,477
Standing Calf Raise,Female,Weight,180,47,112,210,339,490
Seated Calf Raise,Male,Weight,160,49,113,208,332,478
Seated Calf Raise,Male,Weight,170,55,122,220,348,496
Seated Calf Raise,Male,Weight,180,61,131,233,363,514
Seated Calf Raise,Male,Weight,190,67,140,244,377,532
Seated Calf Raise,Male,Weight,200,73,148,256,392,548
Seated Calf Raise,Male,Weight,210,79,157,267,405,564
Seated Calf Raise,Male,Weight,220,85,165,277,418,580
Seated Calf Raise,Male,Weight,230,91,173,288,431,595
Seated Calf Raise,Female,Weight,110,17,56,122,214,326
Seated Calf Raise,Female,Weight,120,20,62,131,225,339
Seated Calf Raise,Female,Weight,130,23,67,139,236,352
Seated Calf Raise,Female,Weight,140,26,73,146,245,364
Seated Calf Raise,Female,Weight,150,29,78,153,255,375
Seated Calf Raise,Female,Weight,160,32,83,160,264,386
Seated Calf Raise,Female,Weight,170,35,87,167,272,396
Seated Calf Raise,Female,Weight,180,38,92,173,280,406
Barbell Curl,Male,Weight,160,37,62,95,136,181
Barbell Curl,Male,Weight,170,40,66,101,142,189
Barbell Curl,Male,Weight,180,43,71,106,148,196
Barbell Curl,Male,Weight,190,47,75,111,154,203
Barbell Curl,Male,Weight,200,50,79,116,160,209
Barbell Curl,Male,Weight,210,53,83,121,166,216
Barbell Curl,Male,Weight,220,56,87,125,171,222
Barbell Curl,Male,Weight,230,59,90,130,177,228
Barbell Curl,Female,Weight,110,10,24,44,71,102
Barbell Curl,Female,Weight,120,12,26,47,75,106
Barbell Curl,Female,Weight,130,13,29,50,78,111
Barbell Curl,Female,Weight,140,15,31,53,82,115
Barbell Curl,Female,Weight,150,16,33,56,85,119
Barbell Curl,Female,Weight,160,18,35,58,88,122
Barbell Curl,Female,Weight,170,19,36,61,91,126
Barbell Curl,Female,Weight,180,20,38,63,94,129
Lying Tricep Extension,Male,Weight,160,33,58,92,133,180
Lying Tricep Extension,Male,Weight,170,37,63,98,141,189
Lying Tricep Extension,Male,Weight,180,41,69,105,149,198
Lying Tricep Extension,Male,Weight,190,45,74,111,156,207
Lying Tricep Extension,Male,Weight,200,49,79,117,164,215
Lying Tricep Extension,Male,Weight,210,53,84,123,171,223
Lying Tricep Extension,Male,Weight,220,57,89,129,178,231
Lying Tricep Extension,Male,Weight,230,61,93,135,184,239
Lying Tricep Extension,Female,Weight,110,10,24,44,70,100
Lying Tricep Extension,Female,Weight,120,11,25,46,73,104
Lying Tricep Extension,Female,Weight,130,12,27,48,75,107
Lying Tricep Extension,Female,Weight,140,14,29,50,78,110
Lying Tricep Extension,Female,Weight,150,15,30,52,80,113
Lying Tricep Extension,Female,Weight,160,15,31,54,82,115
Lying Tricep Extension,Female,Weight,170,16,33,56,85,118
Lying Tricep Extension,Female,Weight,180,17,34,57,87,120
Bench Press,Male,Weight,160,100,141,193,252,316
Bench Press,Male,Weight,170,109,152,206,267,333
Bench Press,Male,Weight,180,118,163,218,281,348
Bench Press,Male,Weight,190,127,174,230,295,364
Bench Press,Male,Weight,200,136,184,242,308,379
Bench Press,Male,Weight,210,145,194,254,321,393
Bench Press,Male,Weight,220,153,204,265,334,407
Bench Press,Male,Weight,230,162,214,276,347,421
Bench Press,Female,Weight,110,27,52,86,128,177
Bench Press,Female,Weight,120,32,58,93,137,187
Bench Press,Female,Weight,130,36,63,100,145,197
Bench Press,Female,Weight,140,40,68,107,153,206
Bench Press,Female,Weight,150,44,73,113,161,215
Bench Press,Female,Weight,160,47,78,119,168,223
Bench Press,Female,Weight,170,51,83,125,175,231
Bench Press,Female,Weight,180,55,88,131,182,239
Incline Bench,Male,Weight,160,94,130,173,223,276
Incline Bench,Male,Weight,170,103,140,185,236,291
Incline Bench,Male,Weight,180,112,151,197,250,306
Incline Bench,Male,Weight,190,121,161,209,263,320
Incline Bench,Male,Weight,200,130,171,220,275,334
Incline Bench,Male,Weight,210,138,180,231,287,347
Incline Bench,Male,Weight,220,146,190,241,299,360
Incline Bench,Male,Weight,230,154,199,252,311,373
Incline Bench,Female,Weight,110,20,41,72,112,158
Incline Bench,Female,Weight,120,23,46,79,121,168
Incline Bench,Female,Weight,130,27,51,86,129,178
Incline Bench,Female,Weight,140,30,56,92,136,187
Incline Bench,Female,Weight,150,34,61,98,144,195
Incline Bench,Female,Weight,160,37,66,104,151,204
Incline Bench,Female,Weight,170,41,70,110,158,212
Incline Bench,Female,Weight,180,44,75,115,164,219
Shoulder Press,Male,Weight,160,62,90,125,166,210
Shoulder Press,Male,Weight,170,68,97,134,176,221
Shoulder Press,Male,Weight,180,74,104,142,185,231
Shoulder Press,Male,Weight,190,79,111,150,194,241
Shoulder Press,Male,Weight,200,85,118,157,202,251
Shoulder Press,Male,Weight,210,91,124,165,211,260
Shoulder Press,Male,Weight,220,96,130,172,219,270
Shoulder Press,Male,Weight,230,101,136,179,227,278
Shoulder Press,Female,Weight,110,22,38,60,87,117
Shoulder Press,Female,Weight,120,25,42,65,92,123
Shoulder Press,Female,Weight,130,27,45,68,97,128
Shoulder Press,Female,Weight,140,30,48,72,101,134
Shoulder Press,Female,Weight,150,32,51,76,106,139
Shoulder Press,Female,Weight,160,34,54,79,110,143
Shoulder Press,Female,Weight,170,36,57,83,114,148
Shoulder Press,Female,Weight,180,39,59,86,117,152
Dips,Male,Reps,160,1,9,19,32,45
Dips,Male,Reps,170,2,9,19,31,44
Dips,Male,Reps,180,2,9,19,31,43
Dips,Male,Reps,190,2,9,19,30,42
Dips,Male,Reps,200,2,9,19,29,41
Dips,Male,Reps,210,3,9,18,29,40
Dips,Male,Reps,220,3,9,18,28,39
Dips,Male,Reps,230,3,9,18,28,38
Dips,Female,Reps,110,1,2,10,22,34
Dips,Female,Reps,120,1,2,10,21,33
Dips,Female,Reps,130,1,2,10,20,32
Dips,Female,Reps,140,1,2,10,20,31
Dips,Female,Reps,150,1,2,10,19,29
Dips,Female,Reps,160,1,2,9,18,28
Dips,Female,Reps,170,1,2,9,18,27
Dips,Female,Reps,180,1,2,9,17,26
Back Squat,Male,Weight,160,136,190,256,333,415
Back Squat,Male,Weight,170,148,204,273,352,437
Back Squat,Male,Weight,180,160,219,290,371,457
Back Squat,Male,Weight,190,172,233,306,389,477
Back Squat,Male,Weight,200,184,246,321,406,497
Back Squat,Male,Weight,210,195,259,336,423,515
Back Squat,Male,Weight,220,207,272,351,440,534
Back Squat,Male,Weight,230,218,285,365,456,551
Back Squat,Female,Weight,110,52,87,134,191,254
Back Squat,Female,Weight,120,58,95,143,202,267
Back Squat,Female,Weight,130,63,102,152,212,278
Back Squat,Female,Weight,140,69,109,160,222,290
Back Squat,Female,Weight,150,74,115,168,231,300
Back Squat,Female,Weight,160,79,121,175,240,310
Back Squat,Female,Weight,170,84,127,183,248,320
Back Squat,Female,Weight,180,89,133,190,256,329
Front Squat,Male,Weight,160,113,156,209,269,334
Front Squat,Male,Weight,170,121,166,220,283,349
Front Squat,Male,Weight,180,130,176,232,296,363
Front Squat,Male,Weight,190,139,186,243,308,377
Front Squat,Male,Weight,200,147,196,254,320,391
